position,Sample name,Cellular compartment,Medium,Sample Type,Temperature (C),Timepoint (h),Cultivation Container ID/Position,Operator Name,Replicate #,Strain,Genotype,Date of sampling,old position,plate,Unnamed: 12
F05,MIA-HA-116_5,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,5.0,MIA-HA-116,VminG8H AanCPR,,,yp54,
F06,MIA-HA-116_6,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,6.0,MIA-HA-116,VminG8H AanCPR,,,yp54,
F07,n.ctr,,SC-UT,,,,,,,,,,,yp54,
F08,MIA-HA-2_006_1,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-2_006,,,,yp54,
F09,MIA-HA-2_006_2,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-2_006,,,,yp54,
F10,MIA-HA-3_001_1,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-3_001,,,,yp54,
F11,MIA-HA-3_001_2,Extracellular Region,SC-UT,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-3_001,,,,yp54,
F12,MIA-HA-1_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,1.0,MIA-HA-1,-,,,yp54,
G01,MIA-HA-1_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,2.0,MIA-HA-1,-,,,yp54,
G02,MIA-HA-1_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,3.0,MIA-HA-1,-,,,yp54,
G03,MIA-HA-1_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Møller Pedersen,4.0,MIA-HA-1,-,,,yp54,
G04,,,,Blank,,,,,,,,,,yp54,yp54
G05,,,,Blank,,,,,,,,,,yp54,yp54
G06,,,,Blank,,,,,,,,,,yp54,yp54
G07,,,,Blank,,,,,,,,,,yp54,yp54
G08,,,,Blank,,,,,,,,,,yp54,yp54
G09,,,,Blank,,,,,,,,,,yp54,yp54
G10,,,,Blank,,,,,,,,,,yp54,yp54
G11,,,,Blank,,,,,,,,,,yp54,yp54
G12,,,,Blank,,,,,,,,,,yp54,yp54
H01,,,,Blank,,,,,,,,,,yp54,yp54
H02,,,,Blank,,,,,,,,,,yp54,yp54
H03,,,,Blank,,,,,,,,,,yp54,yp54
H04,,,,Blank,,,,,,,,,,yp54,yp54
H05,,,,Blank,,,,,,,,,,yp54,yp54
H06,,,,Blank,,,,,,,,,,yp54,yp54
H07,20210922MIA-CH-A2_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Moeller Pedersen,1.0,MIA-CH-A2,,,,yp54,yp54
H08,20210922MIA-CH-A2_2,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Moeller Pedersen,2.0,MIA-CH-A2,,,,yp54,yp54
H09,20210922MIA-CH-A2_3,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Moeller Pedersen,3.0,MIA-CH-A2,,,,yp54,yp54
H10,20210922MIA-CH-A2_4,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Moeller Pedersen,4.0,MIA-CH-A2,,,,yp54,yp54
H11,20210922MIA-CM-3_1,Extracellular Region,YPD,Specimen,30.0,144.0,,Christine Moeller Pedersen,1.0,MIA-CM-3,,,,yp54,yp54
H12,20210922BLANK_1,Extracellular Region,YPD,Blank,30.0,144.0,,Christine Moeller Pedersen,1.0,BLANK,,,,yp54,yp54
